version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Tyler Jerome,Aguirre@domainname.onmicrosoft.com,OM5126647, No,Jamalia,Aguirre,Strobotic Drill Project Manager Rover,,,37970  Kuwait Ct.,IQ,,,Downey,36093,782-170-3741,
Aguirre Jamalia,Cote@domainname.onmicrosoft.com,HO100518, No,Samson,Cote,Daughter of Astronaut,,,21364 North Athens Way,DK,,,San Mateo,92392,577-946-0977,
Cote Samson,Dickson@domainname.onmicrosoft.com,PI8863069, No,Sybill,Dickson,Lead Space Station Power Resource Management Team,,,58651 South Canada St.,MK,,,Tonawanda,62964,393-970-0689,
Dickson Sybill,Dixon@domainname.onmicrosoft.com,XR9076826, No,Quinlan,Dixon,Test Engineer,,,7228 East Equatorial Guinea Ct.,AZ,,,Torrington,4809,719-521-7097,
Dixon Quinlan,Duffy@domainname.onmicrosoft.com,SZ2869080, No,Aimee,Duffy,First Child Actress to Win An Academy Award,,,92869 East Aliquippa Blvd.,CS,,,Brigham City,30053,405-565-3097,
Duffy Aimee,Marquez@domainname.onmicrosoft.com,TX2173679, No,Eaton,Marquez,Launch To Activation Procedures Lead,,,15847 South Chico St.,SA,,,New Orleans,11578,121-428-7354,
Marquez Eaton,Morris@domainname.onmicrosoft.com,MX3345161, No,Megan,Morris,Crew Training Coordinator ,,,3224 North Armenia Ln.,YE,,,Port Jervis,89536,099-625-4977,
Morris Megan,Nieves@domainname.onmicrosoft.com,WH5458596, No,Gemma,Nieves,Project Scientist,,,83315 North Equatorial Guinea Blvd.,GT,,,Edina,26113,498-751-0801,
Nieves Gemma,Atkinson@domainname.onmicrosoft.com,IC2020078, No,Edan,Atkinson,Payload Project Engineering Manager,,,75061 South Maldives Blvd.,BG,,,Fond du Lac,98305,642-299-2506,
Atkinson Edan,Mays@domainname.onmicrosoft.com,VW7936468, No,Kiayada,Mays,Program Planning Specialist ,,,98342 East Pitcairn Way,SK,,,Barrow,70744,731-489-0225,
Mays Kiayada,Bradley@domainname.onmicrosoft.com,QM30757, No,Urielle,Bradley,NTSB/FAA Investigator,,,23382 West Anderson Way,NZ,,,Sunnyvale,64540,479-364-4706,
Bradley Urielle,Stephenson@domainname.onmicrosoft.com,IF6860153, No,Emily,Stephenson,Test Conductor,,,81786 East Viet Nam Way,SV,,,Princeton,40713,451-401-6427,
Stephenson Emily,Austin@domainname.onmicrosoft.com,OD226372, No,Mercedes,Austin,First African American Female To Receive A Ph.D. In Engineering ,,,66960 South Solomon Islands Ln.,GT,,,Minneapolis,41114,571-544-0527,
Austin Mercedes,Mcgowan@domainname.onmicrosoft.com,HN1655684, No,Fletcher,Mcgowan,Mission Program Manager,,,31192  Mauritius Ln.,CS,,,Dover,65185,053-183-6939,
Mcgowan Fletcher,Hoover@domainname.onmicrosoft.com,BC2398909, No,Lewis,Hoover,Science Education Coordinator ,,,10908 West Arvada Ct.,HK,,,Saint Louis,5105,517-046-1318,
Hoover Lewis,Mays@domainname.onmicrosoft.com,OY3071394, No,Simon,Mays,Site Leader,,,96912 South Argentina Blvd.,SG,,,Little Falls,74996,370-389-4005,
Mays Simon,Henderson@domainname.onmicrosoft.com,PT1494559, No,Tatum,Henderson,Senior Project Engineer -- Earthkam,,,55991 East Barbados St.,TN,,,Radford,91252,314-312-7760,
Henderson Tatum,Mcleod@domainname.onmicrosoft.com,FQ2930920, No,Kirby,Mcleod,Solar Scientists,,,80601 East Dover St.,SA,,,Eufaula,20073,466-856-1219,
Mcleod Kirby,Cole@domainname.onmicrosoft.com,XV4039988, No,Fatima,Cole,Mathematical Researcher,,,55376 South British Indian Ocean Territory St.,TH,,,McAlester,71043,530-624-3955,
Cole Fatima,Hanson@domainname.onmicrosoft.com,KJ1473183, No,Fleur,Hanson,First Female Starship Captain in The History Of Prime-Time,,,82805 South Aruba Ave.,IT,,,Dixon,72821,175-953-2185,
Hanson Fleur,Rutledge@domainname.onmicrosoft.com,JR4142917, No,Maite,Rutledge,Administrative Support Assistant ,,,70869  Saint Lucia St.,BG,,,Ithaca,93683,910-175-1596,
Rutledge Maite,Lucas@domainname.onmicrosoft.com,NG9776234, No,Leah,Lucas,HST Computer Specialists,,,24009 East Turkey Way,CR,,,Fontana,47092,516-265-1919,
Lucas Leah,Rowland@domainname.onmicrosoft.com,WL5674017, No,Lucas,Rowland,Curriculum Specialist,,,52165 East Turkmenistan Ave.,MK,,,Opelousas,16652,908-771-6636,
Rowland Lucas,Ingram@domainname.onmicrosoft.com,AV7560423, No,Madeline,Ingram,Space Flight Technician,,,27853 East New Orleans St.,AU,,,Ithaca,6138,167-479-0633,
Ingram Madeline,Reese@domainname.onmicrosoft.com,DR9509698, No,Dane,Reese,Flight Manager,,,28475 South Honduras Ln.,RU,,,Santa Fe,58415,465-736-2827,
Reese Dane,Parrish@domainname.onmicrosoft.com,CV7697112, No,Emerson,Parrish,New Space Transportation Developer,,,39499 East Green River Ave.,RO,,,Hazleton,35676,621-307-7360,
Parrish Emerson,Becker@domainname.onmicrosoft.com,MG9898197, No,Quail,Becker,Astronaut Office Personnel,,,8772  Sao Tome and Principe Blvd.,MA,,,Lufkin,21047,142-610-7531,
Becker Quail,Benson@domainname.onmicrosoft.com,OX3562631, No,Abra,Benson,Senior Project Manager,,,37914  India Ave.,MO,,,Rancho Palos Verdes,53657,942-795-0521,
Benson Abra,Hester@domainname.onmicrosoft.com,GU6547093, No,Joy,Hester,Aircraft System Manager,,,88096  Chickasha Ln.,ZA,,,Jacksonville,12481,089-459-6244,
Hester Joy,Malone@domainname.onmicrosoft.com,XJ1711819, No,Oscar,Malone,Tracker Operator,,,14742  United Arab Emirates Ct.,EE,,,Huntsville,68146,533-108-2288,
Malone Oscar,Harding@domainname.onmicrosoft.com,AU4567226, No,Alden,Harding,Materials Scientist,,,47900 East Eatontown Way,NL,,,Fort Worth,36168,799-054-2092,
Harding Alden,Henry@domainname.onmicrosoft.com,OJ9699890, No,Jelani,Henry,Procurement Agent ,,,50226 North North Chicago Ct.,DE,,,Montpelier,66346,280-919-2398,
Henry Jelani,Underwood@domainname.onmicrosoft.com,NM5960186, No,Benjamin,Underwood,Flight Controller,,,62748 South Argentina Ln.,LU,,,Northampton,97901,020-725-2648,
Underwood Benjamin,Cantrell@domainname.onmicrosoft.com,HY9833125, No,Marah,Cantrell,Camera Control Electronics Designer,,,"57385 South Virgin Islands, British Blvd.",BR,,,Kearney,65996,912-853-3011,
Cantrell Marah,Oconnor@domainname.onmicrosoft.com,MB6997604, No,Xenos,Oconnor,Advanced Projects Design Team Leader,,,83024 North Saint Kitts and Nevis Blvd.,GR,,,Troy,56878,449-888-9702,
Oconnor Xenos,Mathews@domainname.onmicrosoft.com,LZ5440652, No,Phillip,Mathews,Aeromechanics Engineer,,,88258 North Barbados Ln.,GR,,,Cincinnati,31987,863-935-2291,
Mathews Phillip,Lang@domainname.onmicrosoft.com,JO1722245, No,Keefe,Lang,What's,,,39436  Bouvet Island Ave.,BY,,,Mequon,71304,613-467-1151,
Lang Keefe,Nicholson@domainname.onmicrosoft.com,BT3864533, No,Raymond,Nicholson,Systems Engineer,,,8351 West Mozambique St.,AZ,,,Corpus Christi,27531,963-327-8829,
Nicholson Raymond,Campos@domainname.onmicrosoft.com,KO6006634, No,Honorato,Campos,Laboratory Manager,,,16949  Lesotho Ave.,SI,,,DeKalb,13536,205-250-9072,
Campos Honorato,Chaney@domainname.onmicrosoft.com,TQ1139243, No,Jade,Chaney,Flight Engineer ,,,72815 South French Southern Territories Ct.,LY,,,Delta Junction,40027,042-746-4595,
Chaney Jade,Ayala@domainname.onmicrosoft.com,DC1286304, No,Nola,Ayala,Project Engineer ,,,99472 West Algeria Ct.,PY,,,Logan,70153,546-768-2220,
Ayala Nola,Christensen@domainname.onmicrosoft.com,GL226751, No,Slade,Christensen,Photography/Video specialist,,,40573 East Ghana Ct.,AR,,,Lynn,73260,625-072-1052,
Christensen Slade,Cooper@domainname.onmicrosoft.com,NU5653268, No,Nissim,Cooper,Civil Engineer,,,40330 East Ecuador Way,AZ,,,Stillwater,90732,055-019-0370,
Cooper Nissim,Marquez@domainname.onmicrosoft.com,QQ4847688, No,Deirdre,Marquez,Avionics Technician,,,61748  Christmas Island Ln.,SY,,,Hornell,73630,389-995-1372,
Marquez Deirdre,Sampson@domainname.onmicrosoft.com,AM6238896, No,Xyla,Sampson,Space Plasma Physicist ,,,61319 East Palau Ln.,UY,,,Hartford,37722,247-521-2053,
Sampson Xyla,Todd@domainname.onmicrosoft.com,HE760257, No,Venus,Todd,Stowage Manager,,,91283 South Kazakhstan Ave.,SK,,,Garden Grove,40441,459-802-0308,
Todd Venus,Avila@domainname.onmicrosoft.com,KN3668851, No,Jarrod,Avila,Flight Crew Equipment Manager,,,20538  Bermuda Blvd.,BO,,,Kearns,72794,144-125-6784,
Avila Jarrod,Walsh@domainname.onmicrosoft.com,FQ136028, No,Imani,Walsh,Biocomputation Center Deputy Director,,,62809 East Monterey Park Ct.,JM,,,Aurora,30616,731-333-7420,
Walsh Imani,King@domainname.onmicrosoft.com,NP6865015, No,Imani,King,Flight Equipment Engineering Technician,,,94418 North Ansonia St.,HU,,,Monterey Park,28150,638-403-6655,
King Imani,Greene@domainname.onmicrosoft.com,EG6397777, No,Zelenia,Greene,Psychologist,,,46637 East Togo Ct.,NO,,,Jenks,63529,532-706-2853,
Greene Zelenia,Herrera@domainname.onmicrosoft.com,RF7628010, No,Odette,Herrera,Curriculum Specialist,,,55260  Colombia Blvd.,IL,,,St. George,16391,222-691-5073,
Herrera Odette,Willis@domainname.onmicrosoft.com,IR6752815, No,Jolie,Willis,Environment Control and Life Support Systems Engineer,,,82121  Kazakhstan Way,BY,,,Myrtle Beach,12592,266-857-7482,
Willis Jolie,Pate@domainname.onmicrosoft.com,GX120419, No,Tobias,Pate,Payload Mission Manager,,,82553 South Cape Verde Blvd.,HN,,,Worcester,29778,635-121-6780,
Pate Tobias,Bennett@domainname.onmicrosoft.com,ED9760903, No,Robin,Bennett,Biocomputation Center Deputy Director,,,72972  Fall River St.,IS,,,Fontana,28695,436-770-3932,
Bennett Robin,Brooks@domainname.onmicrosoft.com,YI163079, No,Autumn,Brooks,Spacesuit Technician,,,19293 North Bhutan Way,CS,,,Brea,23081,736-966-8660,
Brooks Autumn,Ingram@domainname.onmicrosoft.com,GY4016854, No,Alexis,Ingram,Principal Scientist,,,20482 North British Indian Ocean Territory Blvd.,AR,,,Williamsburg,46605,370-873-5055,
Ingram Alexis,Houston@domainname.onmicrosoft.com,VT2824436, No,Noel,Houston,Experiment Systems Manager,,,93431  Nigeria Ln.,DZ,,,Branson,3140,299-564-0156,
Houston Noel,Douglas@domainname.onmicrosoft.com,UN2615277, No,Hollee,Douglas,Businessman,,,52811  Mali Ct.,AR,,,Palo Alto,67172,062-230-8201,
Douglas Hollee,Hart@domainname.onmicrosoft.com,AR6435280, No,Cleo,Hart,Environmental Specialist,,,45237 North Luxembourg Ave.,NI,,,Batavia,30966,349-366-8839,
Hart Cleo,Holden@domainname.onmicrosoft.com,LV3790776, No,Angelica,Holden,Project Engineer Hardware Development,,,39319  Gabon St.,AU,,,Culver City,69092,680-218-0976,
Holden Angelica,Bowman@domainname.onmicrosoft.com,UJ7794060, No,Whitney,Bowman,Associate Staff Scientist,,,44326 West Bristol Ln.,PH,,,Chattanooga,16667,514-999-7793,
Bowman Whitney,Alexander@domainname.onmicrosoft.com,WY7024643, No,Josephine,Alexander,Ornithologist,,,52299 South Greenland Ave.,AT,,,Beacon,46556,188-071-1899,
Alexander Josephine,Craft@domainname.onmicrosoft.com,RZ729186, No,Anjolie,Craft,Aerodynamics Engineer,,,80206 North Argentina Ave.,DE,,,Greenville,90116,120-258-4450,
Craft Anjolie,Warner@domainname.onmicrosoft.com,GS3986674, No,Jonas,Warner,Life Sciences Outreach Office Personnel,,,21637  Cairo Blvd.,US,,,Alpharetta,30451,369-735-6504,
Warner Jonas,Cook@domainname.onmicrosoft.com,JQ5898388, No,Leonard,Cook,High Lift Research,,,83165  Iceland St.,VE,,,Stevens Point,38352,236-728-2013,
Cook Leonard,Page@domainname.onmicrosoft.com,WD8319187, No,Hannah,Page,High School Science Teacher ,,,95923  Honolulu Ave.,MA,,,Saint Cloud,66849,821-794-2311,
Page Hannah,Clements@domainname.onmicrosoft.com,XI6356985, No,Connor,Clements,Physiologist,,,16755 West Egypt Ct.,BE,,,Pullman,12809,978-945-2374,
Clements Connor,Carrillo@domainname.onmicrosoft.com,QT4120370, No,Courtney,Carrillo,Technical Leader for Space Station Outreach Group,,,51070 East Costa Rica Ave.,EC,,,Yuma,50856,463-032-0639,
Carrillo Courtney,Hobbs@domainname.onmicrosoft.com,MQ9684022, No,Charlotte,Hobbs,First Woman Manager of NASA's Simulation Laboratories ,,,17729 South Congo Blvd.,AE,,,Twin Falls,24598,276-191-6511,
Hobbs Charlotte,Reyes@domainname.onmicrosoft.com,KI6002538, No,Nina,Reyes,Astronomer,,,40218 West Antarctica Ct.,MV,,,Coatesville,15049,708-991-5939,
Reyes Nina,Powers@domainname.onmicrosoft.com,PO2469639, No,Travis,Powers,Science and Sequencing Technical Engineering Aide,,,81301 North Ireland Ct.,GE,,,Tampa,98436,385-480-7645,
Powers Travis,Knapp@domainname.onmicrosoft.com,PH7413621, No,Olga,Knapp,Technical Advisor Earth: Final Conflict Television Series ,,,38533  DuBois St.,FI,,,Baytown,37442,595-982-9876,
Knapp Olga,Monroe@domainname.onmicrosoft.com,RD8342006, No,Roth,Monroe,Operations Lead ,,,45853 East Holy See (Vatican City State) Ave.,VN,,,Latrobe,78819,248-574-7381,
Monroe Roth,Bean@domainname.onmicrosoft.com,MZ7312134, No,Mark,Bean,Power Heating Articulation Lighting and Controls Officer,,,64135 East Croatia St.,LI,,,Williamsport,74933,454-493-4881,
Bean Mark,Reese@domainname.onmicrosoft.com,NC8672015, No,Jolene,Reese,Mission Evaluation Room Manager,,,39633  Manassas Park Ct.,BZ,,,San Angelo,58315,277-158-1203,
Reese Jolene,Wilder@domainname.onmicrosoft.com,ZV7497941, No,Beau,Wilder,Applications Support Programmer,,,51202 South Fort Wayne Ave.,LB,,,Wheeling,772,222-001-0093,
Wilder Beau,Leblanc@domainname.onmicrosoft.com,ZT1006518, No,Acton,Leblanc,Photopolarimeter Radiometer Science Coordinator,,,97694 West Clairton Way,YE,,,Weymouth,73764,041-646-5490,
Leblanc Acton,Johnston@domainname.onmicrosoft.com,SQ15156, No,Bryar,Johnston,Space Station Robotics Instructor,,,71370 North Philippines Ln.,BR,,,Opelousas,60374,172-572-6699,
Johnston Bryar,Maxwell@domainname.onmicrosoft.com,QC3000899, No,Brennan,Maxwell,First Female To Receive A Ph.D. In Mechanical Engineering ,,,19638 East New Zealand Ln.,AE,,,Oneida,52409,072-277-5025,
Maxwell Brennan,Benton@domainname.onmicrosoft.com,JQ6493259, No,Kasper,Benton,Flight Engineer ,,,82335 West Auburn Hills St.,OM,,,Sheridan,64076,524-754-4095,
Benton Kasper,Rocha@domainname.onmicrosoft.com,YF8640705, No,Lois,Rocha,Research Associate,,,50878 East Brazil Way,HK,,,Steubenville,84947,814-043-9105,
Rocha Lois,Wise@domainname.onmicrosoft.com,YT9999600, No,Jasmine,Wise,Flight Crew Equipment Manager,,,14936 North Brunei Darussalam Ct.,IN,,,Warner Robins,7411,982-233-6294,
Wise Jasmine,Schultz@domainname.onmicrosoft.com,EC7677013, No,Tanya,Schultz,Division Chief,,,96445 South Oman Ct.,FI,,,Ogden,1862,372-868-0490,
Schultz Tanya,Cortez@domainname.onmicrosoft.com,SU5758479, No,Barclay,Cortez,Senior Research Scientist,,,26804  Bermuda Blvd.,OM,,,Canton,79092,177-601-1939,
Cortez Barclay,Mooney@domainname.onmicrosoft.com,IT8136321, No,Felix,Mooney,Assistant Astronomer,,,52869 North Macao Ct.,NL,,,Woodward,99690,101-885-7327,
Mooney Felix,Franco@domainname.onmicrosoft.com,GT6630367, No,Zenaida,Franco,Commander,,,17908 North Uruguay Ct.,CS,,,Bossier City,25377,615-599-1058,
Franco Zenaida,Blackwell@domainname.onmicrosoft.com,RB1799941, No,Kadeem,Blackwell,First Child Actress to Win An Academy Award,,,"49222 North Taiwan, Province of China Way",UA,,,Peekskill,93051,015-112-0403,
Blackwell Kadeem,Anderson@domainname.onmicrosoft.com,TN5917681, No,Kieran,Anderson,Engineer,,,69359 West Panama Ct.,IN,,,Glendora,4414,821-358-2065,
Anderson Kieran,Maddox@domainname.onmicrosoft.com,LO2885211, No,Clinton,Maddox,Technology Transfer Specialist,,,3014 West Cocos (Keeling) Islands Ave.,DO,,,Littleton,55183,548-973-1994,
Maddox Clinton,Gates@domainname.onmicrosoft.com,WA1313510, No,Brenda,Gates,Director Counseling And Psychological Services Center ,,,48600 North Gibraltar Ct.,CH,,,Toledo,11733,979-144-0580,
Gates Brenda,Wallace@domainname.onmicrosoft.com,KW3762516, No,Dai,Wallace,Operations Lead ,,,64498 North Nauru Way,DE,,,Pierre,85646,275-066-0539,
Wallace Dai,Turner@domainname.onmicrosoft.com,WA5875853, No,Signe,Turner,Executive Director Physical Fitness and Sports ,,,64498  Fort Lauderdale Ln.,GT,,,Oro Valley,42489,869-432-4405,
Turner Signe,Bass@domainname.onmicrosoft.com,GW3038446, No,Porter,Bass,Neurobiologist ,,,23137 West Panama Ln.,TH,,,Escondido,77446,745-282-3095,
Bass Porter,Norman@domainname.onmicrosoft.com,IR5743365, No,Sybil,Norman,First Chief of Astronomy ,,,57601 West Anguilla Ct.,BO,,,Joplin,89757,082-876-6564,
Norman Sybil,Thompson@domainname.onmicrosoft.com,SO9360384, No,Ashton,Thompson,Camera Systems Principal Investigator,,,43704 West British Indian Ocean Territory Ln.,AL,,,Needham,75823,601-083-5875,
Thompson Ashton,Pickett@domainname.onmicrosoft.com,FC8777835, No,Gannon,Pickett,Mission Planning and Sequence Team of the Mars Global Surveyor,,,24897 East Mongolia St.,ES,,,Stamford,87425,771-568-8653,
Pickett Gannon,Barrera@domainname.onmicrosoft.com,VC7993655, No,Hamilton,Barrera,Neuroscience Researcher,,,89401  Antigua and Barbuda Blvd.,HU,,,Sugar Land,81339,342-705-5634,
Barrera Hamilton,Heath@domainname.onmicrosoft.com,SI3707389, No,Noah,Heath,Project Engineer Thermal Control,,,24789 South San Marino Ln.,EC,,,Fajardo,6310,610-724-4901,
Heath Noah,Mullen@domainname.onmicrosoft.com,ZL9505062, No,Anne,Mullen,First Female INCO Flight Controller,,,73656 North Palau Ct.,IQ,,,Portland,88084,602-498-1940,
Mullen Anne,Frye@domainname.onmicrosoft.com,SV857277, No,Graham,Frye,Lead Shuttle Systems Inspector,,,24455 West Nauru Ct.,LY,,,Aguadilla,78640,892-474-1570,
Frye Graham,Nelson@domainname.onmicrosoft.com,TP7453931, No,Cherokee,Nelson,ISS Reliability Engineer,,,22779 East Dixon Way,IL,,,Eugene,66313,323-416-8406,
Nelson Cherokee,Frazier@domainname.onmicrosoft.com,XQ6178654, No,Lionel,Frazier,University Program Specialist,,,87568 South Belarus Ave.,TN,,,Cape Coral,54233,528-878-7221,
Frazier Lionel,Miller@domainname.onmicrosoft.com,NP6155983, No,Phillip,Miller,Materials Engineer,,,45267 South Bremerton Ct.,SY,,,Sturgis,613,869-711-1360,
Miller Phillip,Mccray@domainname.onmicrosoft.com,DL8763943, No,Hanae,Mccray,Software Engineer,,,3386 East Morocco Way,LB,,,South Pasadena,34073,074-615-8687,
Mccray Hanae,Logan@domainname.onmicrosoft.com,XK7035343, No,Eagan,Logan,Air Traffic Control Analyst,,,83535 North Brown Deer Way,VE,,,Fulton,76427,419-765-1486,
Logan Eagan,Howe@domainname.onmicrosoft.com,KH3413754, No,Harlan,Howe,Site Leader,,,61538 South Aruba Ln.,IN,,,Lander,70780,691-986-2715,
Howe Harlan,Rodriquez@domainname.onmicrosoft.com,DK25873, No,Yael,Rodriquez,Environment Control and Life Support Systems Engineer,,,7675 West Aruba St.,IT,,,Augusta,78869,579-006-1332,
Rodriquez Yael,Rollins@domainname.onmicrosoft.com,UH7179092, No,Nevada,Rollins,Forecaster Space Meteorology Group,,,91684 North Guadeloupe Ct.,DZ,,,Warwick,70470,134-460-5171,
Rollins Nevada,Pittman@domainname.onmicrosoft.com,HF2133230, No,Zenaida,Pittman,Flight Simulation Engineer ,,,88733 South Blythe St.,FI,,,Albany,87347,743-586-8584,
Pittman Zenaida,Riddle@domainname.onmicrosoft.com,LG3213196, No,Sophia,Riddle,First American Woman to Walk in Space,,,33149 East Ukraine Blvd.,NL,,,North Chicago,20304,718-926-6990,
Riddle Sophia,Kane@domainname.onmicrosoft.com,ZC6399348, No,Ralph,Kane,Senior Technical Trainer,,,18548 West China Ave.,ID,,,Inglewood,85171,149-876-6800,
Kane Ralph,Stanton@domainname.onmicrosoft.com,PE6209972, No,Bradley,Stanton,System Design Engineer,,,33874 North Ecuador Way,DE,,,Lakewood,76123,082-317-1295,
Stanton Bradley,Carrillo@domainname.onmicrosoft.com,UV4392708, No,Duncan,Carrillo,Program Planning Specialist ,,,60457 West Australia Way,CL,,,Helena,16311,009-355-3937,
Carrillo Duncan,Lott@domainname.onmicrosoft.com,QI5484143, No,August,Lott,High School Student ,,,40509 West Senegal Ct.,MN,,,Charlottesville,20395,933-446-5352,
Lott August,Snider@domainname.onmicrosoft.com,CG2160782, No,Kiara,Snider,Intern Machinist,,,6768 South Cayman Islands St.,SE,,,Dana Point,43464,310-414-8559,
Snider Kiara,Mann@domainname.onmicrosoft.com,CR5141545, No,Erich,Mann,Senator's Aide ,,,98528 North Comoros St.,KZ,,,Iowa City,49365,453-838-0215,
Mann Erich,Morris@domainname.onmicrosoft.com,NZ4269816, No,Eagan,Morris,Stowage Manager,,,26554 North Azusa Ct.,MV,,,Livonia,20586,910-877-8745,
Morris Eagan,Cannon@domainname.onmicrosoft.com,DQ8470906, No,Fletcher,Cannon,Engineering Test Pilot,,,50966 South Madagascar St.,AU,,,Stevens Point,48401,015-924-6342,
Cannon Fletcher,Roman@domainname.onmicrosoft.com,ZL6848638, No,Harlan,Roman,First Female U.S. Chief Protocol,,,85545  Arcadia St.,EE,,,Edina,11403,938-449-6721,
Roman Harlan,Ayala@domainname.onmicrosoft.com,EE6699882, No,Chaney,Ayala,Professor Emeritus Colorado State University ,,,46015 East Brunei Darussalam Ln.,DK,,,Lawrenceville,34740,147-637-5648,
Ayala Chaney,Welch@domainname.onmicrosoft.com,QZ5307107, No,Beau,Welch,First Female Scientist Trained to be a Payload Specialist ,,,63067 South Farmer City Way,OM,,,Harrisburg,27507,756-640-3228,
Welch Beau,England@domainname.onmicrosoft.com,BJ7869988, No,Harriet,England,International Element Manager,,,93034 North Morocco Way,CO,,,Salem,37420,740-023-3343,
England Harriet,Dillard@domainname.onmicrosoft.com,MS5076995, No,Hiroko,Dillard,Director NASA Life Sciences Division ,,,63337  Fajardo St.,CS,,,Saint Louis,93155,635-383-3381,
Dillard Hiroko,Everett@domainname.onmicrosoft.com,YX2019922, No,Cruz,Everett,Research Astrophysicist,,,56373 East French Guiana Ln.,UY,,,Fargo,57292,734-905-8001,
Everett Cruz,Duncan@domainname.onmicrosoft.com,EQ4583371, No,Oleg,Duncan,Knowledge Engineer,,,7648 West Greenville Ln.,UA,,,Aurora,28277,974-053-4076,
Duncan Oleg,Cameron@domainname.onmicrosoft.com,JY1844276, No,Kareem,Cameron,System Engineer/Integrator,,,25638 North Honduras Blvd.,AL,,,Naperville,45511,912-354-9957,
Cameron Kareem,Shaw@domainname.onmicrosoft.com,XF4138320, No,Camille,Shaw,Retired Nurse,,,42577 South Elkhart Ln.,AR,,,Raleigh,76947,701-617-7205,
Shaw Camille,Duncan@domainname.onmicrosoft.com,CX6875854, No,Adena,Duncan,Environmentalist,,,41296 East Albania Ave.,JP,,,Aliso Viejo,20382,071-300-7879,
Duncan Adena,Calhoun@domainname.onmicrosoft.com,AK1017695, No,Alvin,Calhoun,Senior Technical Trainer,,,34015  Cambodia Way,BR,,,Eugene,73331,570-325-7138,
Calhoun Alvin,Woodward@domainname.onmicrosoft.com,OQ5276461, No,Wynter,Woodward,Program Planning Specialist ,,,67835 East Lake Charles St.,JO,,,Laguna Hills,36549,332-598-3058,
Woodward Wynter,Wagner@domainname.onmicrosoft.com,WU6454231, No,Kermit,Wagner,Orbiter Test Conductor,,,57684 North Hammond Ave.,RU,,,Vineland,63286,233-887-5726,
Wagner Kermit,Ramsey@domainname.onmicrosoft.com,HK3648565, No,Solomon,Ramsey,High-Energy Astrophysicist,,,34834 South Nogales Ave.,SI,,,Urbana,9407,730-296-2427,
Ramsey Solomon,Lara@domainname.onmicrosoft.com,QZ264295, No,Erasmus,Lara,Production Assistant,,,55742  Atlanta Ave.,FI,,,Erie,2390,706-039-0612,
Lara Erasmus,Christian@domainname.onmicrosoft.com,IA3866619, No,Mallory,Christian,Electrical Power System/Thermal,,,8918  Galesburg Ave.,JM,,,Winston-Salem,42012,767-251-3423,
Christian Mallory,Malone@domainname.onmicrosoft.com,YW7929364, No,Claudia,Malone,Mars Atmosphere Interdisciplinary Scientist,,,8336  Cheyenne Ln.,TH,,,Idabel,56972,653-285-4634,
Malone Claudia,Byrd@domainname.onmicrosoft.com,SQ9866991, No,Carlos,Byrd,Data Systems Specialist,,,48145  Suriname St.,AR,,,Monongahela,75577,646-278-4803,
Byrd Carlos,Meadows@domainname.onmicrosoft.com,LS6123209, No,Geoffrey,Meadows,Pharmacologist,,,38387 North Derby Way,SK,,,Peoria,50018,658-508-9437,
Meadows Geoffrey,Knox@domainname.onmicrosoft.com,TG3324484, No,Timothy,Knox,Public Affairs Specialist ,,,"66680 South Virgin Islands, British Way",FR,,,Fallon,69879,046-162-0889,
Knox Timothy,Hoover@domainname.onmicrosoft.com,WX3988768, No,Priscilla,Hoover,Test Engineer,,,59775 South Bahrain St.,PY,,,Chicago Heights,11740,362-126-9242,
Hoover Priscilla,Willis@domainname.onmicrosoft.com,YH1209993, No,Chase,Willis,Computer Scientist,,,49395 North Ghana St.,LU,,,Norman,95305,839-633-2019,
Willis Chase,Hudson@domainname.onmicrosoft.com,EU5693879, No,Astra,Hudson,Design Engineer ,,,77789  Ames Ct.,BR,,,West Allis,65115,661-606-5327,
Hudson Astra,Guerrero@domainname.onmicrosoft.com,HH3626081, No,Jackson,Guerrero,Space Physiology,,,85387 North Norway Ln.,MC,,,Springfield,35734,424-259-5425,
Guerrero Jackson,Garrison@domainname.onmicrosoft.com,BN1527530, No,Mariko,Garrison,Philanthropist,,,3779 West Belgium St.,BH,,,Mesa,53080,275-093-6599,
Garrison Mariko,Martinez@domainname.onmicrosoft.com,AA441667, No,Preston,Martinez,Student Interns,,,72627  Bhutan Ct.,,,,,68126,285-032-5392,
Martinez Preston,Marquez@domainname.onmicrosoft.com,SP236271, No,Chester,Marquez,Technical Integration Engineer with Space Station,,,14463 North Paraguay Ct.,,,,,8444,794-074-2267,
Marquez Chester,Kemp@domainname.onmicrosoft.com,GZ2258734, No,Kibo,Kemp,Software Operations Engineer,,,99464 South Venezuela Way,,,,,48676,646-080-2836,
Kemp Kibo,Battle@domainname.onmicrosoft.com,JO6281870, No,Wayne,Battle,Director Astrobiology and Space Research ,,,62142 North Elsmere Ct.,,,,,41561,910-829-1114,
